,SEASONAL_NAIVE_MEAN_3_DAYS,SEASONAL_NAIVE_MEAN_7_DAYS,NAIVE_LAST,ACTUAL
2022-03-10 11:00:00,579.8966666666666,662.4985714285714,442.76,383.34
2022-03-10 12:00:00,473.21999999999997,653.3928571428571,442.76,395.83
2022-03-10 13:00:00,506.94,645.0042857142859,442.76,418.7
2022-03-10 14:00:00,505.07666666666665,656.1114285714286,442.76,372.32
2022-03-10 15:00:00,481.8,615.2928571428572,442.76,421.21
2022-03-10 16:00:00,538.2633333333333,652.7971428571428,442.76,516.26
2022-03-10 17:00:00,784.2133333333333,699.6771428571428,442.76,781.69
2022-03-10 18:00:00,906.0,807.6442857142857,442.76,1059.0
2022-03-10 19:00:00,1001.46,931.8585714285715,442.76,1049.0
2022-03-10 20:00:00,1148.6666666666667,1001.9628571428572,442.76,989.72
2022-03-10 21:00:00,777.1333333333333,714.9399999999999,442.76,700.89
2022-03-10 22:00:00,490.09666666666664,546.9642857142857,442.76,456.79
2022-03-10 23:00:00,476.32666666666665,540.0557142857142,442.76,474.63
2022-03-11 00:00:00,449.16333333333336,474.5671428571428,474.63,421.22
2022-03-11 01:00:00,569.8733333333333,518.0971428571429,474.63,426.72
2022-03-11 02:00:00,478.58,477.31285714285724,474.63,430.56
2022-03-11 03:00:00,471.81,472.2257142857142,474.63,430.65
2022-03-11 04:00:00,554.88,509.41571428571433,474.63,430.56
2022-03-11 05:00:00,590.8333333333334,524.1971428571429,474.63,417.1
2022-03-11 06:00:00,490.7033333333333,478.91999999999996,474.63,441.77
2022-03-11 07:00:00,525.2866666666666,500.8457142857143,474.63,501.91
2022-03-11 08:00:00,740.8666666666667,685.407142857143,474.63,475.02
2022-03-11 09:00:00,846.5966666666667,794.2071428571428,474.63,520.41
2022-03-11 10:00:00,621.8633333333333,682.8214285714286,474.63,450.91
2022-03-11 11:00:00,537.38,612.1085714285715,474.63,440.48
2022-03-11 12:00:00,461.6133333333333,605.7528571428571,474.63,414.63
2022-03-11 13:00:00,514.3100000000001,603.3985714285715,474.63,414.63
2022-03-11 14:00:00,496.9866666666666,608.7514285714286,474.63,414.63
2022-03-11 15:00:00,481.71,576.7385714285714,474.63,432.28
2022-03-11 16:00:00,557.0,624.2057142857144,474.63,483.82
2022-03-11 17:00:00,796.0766666666667,673.49,474.63,607.39
2022-03-11 18:00:00,929.6666666666666,822.2628571428571,474.63,872.56
2022-03-11 19:00:00,1008.46,943.8585714285715,474.63,933.0
2022-03-11 20:00:00,1142.5733333333335,998.3614285714285,474.63,933.0
2022-03-11 21:00:00,737.0966666666667,672.9242857142857,474.63,796.56
2022-03-11 22:00:00,472.06333333333333,494.6485714285714,474.63,483.82
2022-03-11 23:00:00,467.57333333333327,485.3657142857143,474.63,447.94
2022-03-12 00:00:00,437.48,457.53857142857134,447.94,417.15
2022-03-12 01:00:00,551.8766666666667,507.4914285714286,447.94,442.02
2022-03-12 02:00:00,456.75666666666666,467.0242857142858,447.94,438.72
2022-03-12 03:00:00,461.3166666666666,461.6985714285714,447.94,438.72
2022-03-12 04:00:00,538.4799999999999,498.1642857142857,447.94,434.04
2022-03-12 05:00:00,563.1433333333333,511.7328571428571,447.94,443.88
2022-03-12 06:00:00,476.5733333333333,470.1657142857143,447.94,442.16
2022-03-12 07:00:00,521.61,497.4814285714286,447.94,443.98
2022-03-12 08:00:00,625.8733333333333,611.1514285714285,447.94,449.49
2022-03-12 09:00:00,673.2766666666666,715.8371428571428,447.94,658.82
2022-03-12 10:00:00,609.0633333333334,594.5228571428571,447.94,544.34
2022-03-12 11:00:00,521.1066666666667,523.7485714285715,447.94,468.16
2022-03-12 12:00:00,438.7833333333333,512.2714285714285,447.94,440.24
2022-03-12 13:00:00,497.8533333333333,511.3457142857142,447.94,345.11
2022-03-12 14:00:00,488.2333333333333,516.6985714285714,447.94,403.35
2022-03-12 15:00:00,485.43,496.37714285714276,447.94,400.29
2022-03-12 16:00:00,559.3199999999999,551.2071428571429,447.94,510.89
2022-03-12 17:00:00,736.36,687.2157142857143,447.94,798.96
2022-03-12 18:00:00,915.52,841.9800000000001,447.94,1014.0
2022-03-12 19:00:00,934.3333333333334,935.0285714285716,447.94,1054.0
2022-03-12 20:00:00,1137.9066666666668,989.5314285714286,447.94,1044.93
2022-03-12 21:00:00,729.2833333333333,704.1628571428571,447.94,954.93
2022-03-12 22:00:00,474.37999999999994,490.72142857142853,447.94,760.89
2022-03-12 23:00:00,455.10999999999996,476.1271428571428,447.94,527.27
2022-03-13 00:00:00,422.76000000000005,445.71857142857147,527.27,418.71
2022-03-13 01:00:00,429.15000000000003,498.6085714285715,527.27,404.28
2022-03-13 02:00:00,430.1666666666667,456.93,527.27,362.39
2022-03-13 03:00:00,435.9266666666667,452.4857142857142,527.27,354.6
2022-03-13 04:00:00,438.52,487.40142857142854,527.27,353.6
2022-03-13 05:00:00,438.3233333333333,502.37571428571437,527.27,359.57
2022-03-13 06:00:00,440.3233333333333,460.56285714285707,527.27,363.22
2022-03-13 07:00:00,475.9666666666667,490.25857142857143,527.27,392.97
2022-03-13 08:00:00,448.5733333333333,602.9742857142857,527.27,393.0
2022-03-13 09:00:00,533.48,738.3985714285715,527.27,392.97
2022-03-13 10:00:00,471.31666666666666,587.4271428571428,527.27,413.93
2022-03-13 11:00:00,430.66,500.49857142857144,527.27,352.48
2022-03-13 12:00:00,416.90000000000003,452.1271428571429,527.27,334.12
2022-03-13 13:00:00,392.81333333333333,465.7942857142857,527.27,257.29
2022-03-13 14:00:00,396.7666666666667,481.6542857142857,527.27,266.82
2022-03-13 15:00:00,417.9266666666667,470.9899999999999,527.27,266.7
2022-03-13 16:00:00,503.6566666666666,535.9528571428572,527.27,334.66
2022-03-13 17:00:00,729.3466666666667,715.3842857142857,527.27,357.6
2022-03-13 18:00:00,981.8533333333334,875.7957142857142,527.27,434.0
2022-03-13 19:00:00,1012.0,965.7685714285715,527.27,428.52
2022-03-13 20:00:00,989.2166666666667,1019.0928571428573,527.27,360.85
2022-03-13 21:00:00,817.4599999999999,750.777142857143,527.27,349.54
2022-03-13 22:00:00,567.1666666666666,518.4285714285714,527.27,350.49
2022-03-13 23:00:00,483.28,479.18142857142857,527.27,349.19
2022-03-14 00:00:00,419.02666666666664,435.48,349.19,343.21
2022-03-14 01:00:00,424.34,489.92857142857144,349.19,358.07
2022-03-14 02:00:00,410.5566666666667,442.2657142857143,349.19,358.21
2022-03-14 03:00:00,407.99,438.2642857142857,349.19,361.43
2022-03-14 04:00:00,406.06666666666666,473.0414285714286,349.19,356.07
2022-03-14 05:00:00,406.84999999999997,490.32714285714286,349.19,358.07
2022-03-14 06:00:00,415.7166666666667,452.30428571428575,349.19,411.49
2022-03-14 07:00:00,446.2866666666667,489.7399999999999,349.19,459.59
2022-03-14 08:00:00,439.17,593.5671428571429,349.19,424.21
2022-03-14 09:00:00,524.0666666666667,727.1414285714285,349.19,537.46
2022-03-14 10:00:00,469.7266666666667,578.0271428571428,349.19,505.22
2022-03-14 11:00:00,420.3733333333334,483.45,349.19,492.47
2022-03-14 12:00:00,396.33,429.2114285714285,349.19,486.43
2022-03-14 13:00:00,339.01,422.36428571428576,349.19,420.36
2022-03-14 14:00:00,361.59999999999997,424.62142857142857,349.19,413.46
2022-03-14 15:00:00,366.42333333333335,423.69714285714286,349.19,450.28
2022-03-14 16:00:00,443.1233333333334,494.3457142857143,349.19,480.09
2022-03-14 17:00:00,587.9833333333332,699.7542857142859,349.19,515.09
2022-03-14 18:00:00,773.52,871.0799999999999,349.19,717.99
2022-03-14 19:00:00,805.1733333333333,924.1285714285714,349.19,1160.89
2022-03-14 20:00:00,779.5933333333334,967.7857142857144,349.19,931.81
2022-03-14 21:00:00,700.3433333333332,733.3314285714285,349.19,625.58
2022-03-14 22:00:00,531.7333333333333,503.18285714285713,349.19,420.36
